,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,6,2,0,7,5,3,7,1,0,0.0,289197540.0500231,0.0,0.0,0.0
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,6,2,0,7,6,2,7,0,0,0.0,258138311.77436307,30700000.0,0.0,0.0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,5,3,0,7,5,0,7,0,0,3967325.4686259194,243775139.19352317,0.0,127.87881001707504,0.0006608761875466177
190,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,6,0,0,5,0,0,7,3,2,5,0,0,0.0,166736822.0,351800000.0,0.0,0.0
231,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,7,0,0,3,0,0,4,5,0,6,0,0,1289177.471096485,160143367.9307871,261300000.0,29.520494134758795,0.00020097676587255088
309,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,6,0,0,7,2,0,7,2,0,7,0,0,0.0,243891922.33497062,61400000.0,0.0,0.0
341,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,10,0,0,7,1,3,7,0,0,6193467.860688343,243224980.3403295,30700000.0,249.65201299244467,0.0005474835450238308
386,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0,4,0,0,4,0,0,6,2,3,4,0,0,0.0,145755673.99120733,473000000.0,0.0,0.0
392,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,3,0,0,4,0,0,2,3,0,6,0,0,10585075.15640447,130892830.35272259,261300000.0,380.01193596490987,0.0009296102960492565
444,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,5,0,0,7,2,0,7,0,0,0.0,169845280.35893574,199900000.0,0.0,0.0
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,6,5,0,7,5,0,7,0,0,8386344.479969483,247425124.82211125,0.0,114.77942981518797,0.0005479036120425182
498,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,4,0,0,5,0,0,4,4,0,7,0,0,3516290.9720992204,189427037.10830888,146000000.0,73.10471334137114,0.0007891119913551703
