,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,7.225300281607714e+16,0.0,0.0,0.0,0.0394367675131769
190,5.939049705240167e+16,0.0,0.0,3843588.2196539007,0.003681833788920481
231,6.527112391954473e+16,0.0,0.0,5874782.12847279,0.004678722148586399
27,6.9863457535145256e+16,7.693121188114974,0.0,15011312.68830436,0.0005073666505452866
309,6.7762928937272136e+16,14.53709139436308,0.0,0.0,0.032672044602969214
341,6525293604529321.0,7.248669276843355,0.0,8375487.355288821,6.002603100518803e-05
386,6.231662887673596e+16,0.0,0.0,12967470.585423823,0.0007095352951873045
392,6.96929914248755e+16,5.851365492614625,0.0,19642432.73487949,0.0007742370683657298
444,6.36976721014674e+16,5.0617838012854985,0.0,21911416.10673747,0.0005389679092141504
451,1.528097807067963e+17,29.49537334705724,0.0,28435875.487688784,0.0010995150160688272
498,2.689690624332738e+16,5.645365628847744,0.0,3388764.898854163,0.001995565081479251
51,7.667852428901658e+16,29.06026115340272,0.0,21472225.088071488,0.0006494032065142976
