0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,4,0,0,4,0,0,6,0,3,5,0,0,30689502.457966477,181658141.36028928,30700000.0,499.59018457863556,0.00307409273954019
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,7,0,3,6,0,0,0.0,160073753.02882499,230600000.0,0.0,0.0
0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,2,4,0,0,90439691.80228287,99301813.40843768,382500000.0,2064.309970802223,0.008414017769120503
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,5,0,0,4,0,0,5,0,3,7,0,0,0.0,198923561.1149437,61400000.0,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,7,0,0,4,0,0,283610805.65527165,139975803.74610966,30700000.0,0.0,0.12226434610846335
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,5,0,0,7,0,0,7,1,3,6,0,0,4694693.644672721,209515712.57650733,30700000.0,0.0,0.0016103765445569106
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,5,0,0,4,0,2,1,0,0,283610805.65527165,119765556.4663774,30700000.0,5971.090906181769,0.018339651916269503
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,4,0,0,4,0,2,7,0,0,209117553.96993616,142037463.97579747,84600000.0,1110.9739317768835,0.00983027915342948
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,436908569.267768,101441428.82736522,30700000.0,10144.257202689147,0.02461712263936864
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691436291.720473,0.0,236500000.0,14170.549627205453,0.03754037040445727
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5391753433.610977,0.0,30700000.0,0.0,1.6686439756779792
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,7,0,1,6,0,0,274876882.2133248,140088765.16096473,84600000.0,1336.547608286116,0.04384400312049684
0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,2,1,0,0,91087850.22462131,83891814.41994953,419100000.0,1153.842035682533,0.014355322697861448
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132361208.0596433,37255203.23710208,30700000.0,0.0,0.5956575666181951
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,234100851.8614968,8453407.696608048,351800000.0,4864.490926202776,0.017267508986567603
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2457421382.900018,56892933.545523316,30700000.0,15170.28401746388,0.09487136175837041
0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,118778352.49912974,74246079.10540655,321100000.0,0.0,0.033476457981265494
0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,285157804.4333675,9695195.36216505,675200000.0,3401.667350777457,0.011571771888559049
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567412097.080127,32694901.094161935,30700000.0,8599.533921950195,0.31592318307323625
0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314546098.7341589,0.0,351800000.0,0.0,0.13216698324383577
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5391753433.610977,0.0,30700000.0,22757.459710018655,0.2502965963516968
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000370271.8309197,32694901.094161935,0.0,24673.61419466587,0.7106447739461157
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126936765.6426036,0.0,115300000.0,12492.018931367114,0.21125647890758703
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126936765.6426036,0.0,115300000.0,20738.703304027436,0.08802353287816127
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,388424368.29489505,73649520.05021626,61400000.0,10927.182456461533,0.019721120498173556
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3991996949.768347,39015701.403828174,0.0,50586.17550982145,0.236671047945459
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,259222272.9880647,36031637.66426329,261300000.0,6043.90457403789,0.015498477135080737
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5427819925.925551,0.0,0.0,14113.552814869687,0.6110211230557602
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2457975994.476715,8453407.696608048,84600000.0,0.0,1.7102219064918494
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4476186823.195797,32694901.094161935,0.0,0.0,1.8817691397666592
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2567412097.080127,32694901.094161935,30700000.0,0.0,0.8775643974256562
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,618428235.6420197,54862719.29296569,84600000.0,7401.92429151925,0.08631150902060565
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000370271.8309197,32694901.094161935,0.0,0.0,1.9740132609614323
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5427819925.925551,0.0,0.0,23430.702915311,0.25459213460656677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2274692929.732229,49623585.87389807,0.0,0.0,1.6552645999021092
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4476186823.195797,32694901.094161935,0.0,43629.28707788848,0.22581229677199904
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,7,0,0,3,1,4,6,0,0,50058492.832665116,148872348.56649134,169200000.0,1042.1854925131588,0.0033802450568749167
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934865489.0202028,42291505.65437629,30700000.0,0.0,0.5299997585252357
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5427819925.925551,0.0,0.0,0.0,1.697280897377112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1509906687.294614,57554490.86442277,0.0,0.0,0.9176605051172623
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1509906687.294614,57554490.86442277,0.0,16110.10103350095,0.33035778184221437
